Text,Emotion
I'm absolutely delighted with the results!.,Happy
I love how everything is turning out!,Happy
"Oh my goodness, what a surprise!",Surprised
I can’t believe how horrible this is.!,Disgust
I'm so furious about this injustice!...,Angry
I'm so furious about this injustice!,Angry
"I’m speechless, I didn’t see that coming!",Surprised
How dare you treat me like this!.,Angry
This is making me so angry!!!,Angry
How dare you treat me like this!.,Angry
"Oh my goodness, what a surprise!.",Surprised
I can’t believe this just happened!,Surprised
Let’s just focus on finding a solution.,Calm
"There’s no rush, we can work it out.",Calm
That was completely out of the blue!!!,Surprised
"Wow, I did not expect that at all!!!",Surprised
I can’t believe how horrible this is.,Disgust
I'm absolutely delighted with the results!,Happy
"What a wonderful day, I feel great!!",Happy
I’m not sure I can handle this situation....,Fear
I love how everything is turning out!!,Happy
"Ugh, this makes me feel sick.!!",Disgust
I'm feeling really down today.,Sad
"I can’t stop shaking, I’m so nervous!.",Fear
I’m feeling relaxed and at peace.!!,Calm
"I can’t stop crying, it hurts so much.",Sad
"Ugh, this makes me feel sick.",Disgust
"This is fantastic news, I'm thrilled!!",Happy
I can’t stand the sight of this....,Disgust
"Ugh, this makes me feel sick....",Disgust
I'm shocked by this unexpected news!,Surprised
I’m not sure I can handle this situation..,Fear
I’m feeling relaxed and at peace..,Calm
I'm shocked by this unexpected news!,Surprised
"I can’t stop shaking, I’m so nervous!.",Fear
Why does this always happen to me?!!,Sad
I’ve lost all motivation to keep going....,Sad
We can discuss this calmly and logically..,Calm
"Oh wow, this is unbelievable!.",Surprised
Why does everything always go wrong?.,Angry
Something doesn’t feel right about this....,Fear
I just want to be left alone.!!,Sad
Let’s take it one step at a time.!!,Calm
That was completely out of the blue!!!,Surprised
I can’t stand the sight of this.!!,Disgust
I feel on top of the world today!...,Happy
"I can’t stop smiling, this is amazing!!",Happy
This is such a sad situation..,Sad
It doesn’t really bother me either way.!,Calm
What if everything goes wrong?!,Fear
I’m okay with whatever you decide.!!,Calm
"I’m speechless, I didn’t see that coming!!",Surprised
Why would anyone do something so gross?!!,Disgust
I’m feeling relaxed and at peace....,Calm
That was completely out of the blue!!!,Surprised
"I can’t stop smiling, this is amazing!...",Happy
This caught me totally off guard!!,Surprised
I’ve lost all motivation to keep going.!,Sad
Why does this always happen to me?...,Sad
"Everything is under control, don’t worry..",Calm
"Oh my goodness, what a surprise!.",Surprised
This place is giving me chills.!,Fear
This place is giving me chills.!!,Fear
How dare you treat me like this!,Angry
I won’t tolerate this behavior anymore!.,Angry
"What a wonderful day, I feel great!!",Happy
I can’t believe how horrible this is..,Disgust
I’m not sure I can handle this situation.!,Fear
How dare you treat me like this!...,Angry
I feel nauseous just thinking about it..,Disgust
"Ugh, this makes me feel sick..",Disgust
It doesn’t really bother me either way....,Calm
Everything seems hopeless right now..,Sad
I feel so lonely and depressed.,Sad
Everything is going better than I expected!.,Happy
This is completely revolting!,Disgust
Why does this always happen to me?.,Sad
How dare you treat me like this!!!,Angry
"I can’t stop smiling, this is amazing!!",Happy
"Stop wasting my time, I’m sick of it!",Angry
I'm shocked by this unexpected news!,Surprised
This place is giving me chills....,Fear
How dare you treat me like this!...,Angry
"Ugh, this makes me feel sick.",Disgust
Everything is going better than I expected!!!,Happy
This party is so much fun!,Happy
"I understand, and that’s fine with me.!",Calm
Something doesn’t feel right about this....,Fear
Life feels so empty without them.!,Sad
"I can’t stop smiling, this is amazing!...",Happy
"My heart is racing, I can’t calm down!!",Fear
I can’t stand the sight of this..,Disgust
I’m terrified of what might happen.!,Fear
I can’t believe this just happened!!!,Surprised
I’m terrified of what might happen.!!,Fear
I can’t believe this just happened!...,Surprised
I'm shocked by this unexpected news!!,Surprised
I can’t stand the sight of this....,Disgust
"What a wonderful day, I feel great!.",Happy
I never imagined it would turn out like this!!,Surprised
I feel so lonely and depressed.,Sad
I won’t tolerate this behavior anymore!,Angry
I’m terrified of what might happen.!!,Fear
What if everything goes wrong?.,Fear
"I understand, and that’s fine with me.",Calm
Why does everything always go wrong?.,Angry
We can discuss this calmly and logically.!,Calm
This caught me totally off guard!!!,Surprised
Something doesn’t feel right about this....,Fear
I feel like something bad is going to happen.!,Fear
I’m terrified of what might happen.,Fear
"Everything is under control, don’t worry.!!",Calm
"I’m speechless, I didn’t see that coming!!!",Surprised
I just want to be left alone.!!,Sad
This is completely revolting!...,Disgust
Life feels so empty without them..,Sad
I’ve lost all motivation to keep going....,Sad
This situation is driving me crazy!...,Angry
I feel so lonely and depressed.!,Sad
This party is so much fun!...,Happy
"I can’t stop crying, it hurts so much.!!",Sad
This is the worst thing I’ve ever experienced....,Disgust
"Stop wasting my time, I’m sick of it!...",Angry
I feel nauseous just thinking about it....,Disgust
This is such a sad situation.,Sad
"I can’t stop shaking, I’m so nervous!!!",Fear
"Ugh, this makes me feel sick..",Disgust
I'm so furious about this injustice!!!,Angry
I feel so lonely and depressed.!,Sad
"I can’t stop shaking, I’m so nervous!",Fear
I feel like something bad is going to happen.!,Fear
Why does everything always go wrong?.,Angry
That was completely out of the blue!!,Surprised
I won’t tolerate this behavior anymore!,Angry
I'm so furious about this injustice!...,Angry
This is completely unacceptable!...,Angry
I feel nauseous just thinking about it..,Disgust
This is making me so angry!,Angry
I'm heartbroken about what happened.!!,Sad
That was completely out of the blue!!!,Surprised
"Everything is under control, don’t worry....",Calm
We can discuss this calmly and logically.!,Calm
I never imagined it would turn out like this!.,Surprised
This is making me so angry!!!,Angry
I feel like something bad is going to happen..,Fear
I’m terrified of what might happen....,Fear
I’m terrified of what might happen..,Fear
That was completely out of the blue!...,Surprised
Why does everything always go wrong?.,Angry
"I can’t stop crying, it hurts so much.!!",Sad
I’m feeling relaxed and at peace.!!,Calm
I’m okay with whatever you decide....,Calm
I feel nauseous just thinking about it....,Disgust
"Oh wow, this is unbelievable!...",Surprised
That was completely out of the blue!!!,Surprised
How dare you treat me like this!.,Angry
It doesn’t really bother me either way.,Calm
"Oh my goodness, what a surprise!.",Surprised
"That seems fair, I agree.!",Calm
"My heart is racing, I can’t calm down!!",Fear
"I can’t stop smiling, this is amazing!!",Happy
I'm so furious about this injustice!!,Angry
Yay! We won the competition!.,Happy
I'm so furious about this injustice!,Angry
"Oh my goodness, what a surprise!",Surprised
This is the worst thing I’ve ever experienced.!,Disgust
Everything is going better than I expected!.,Happy
"Oh my goodness, what a surprise!!",Surprised
"I’m speechless, I didn’t see that coming!!!",Surprised
"I can't stand this anymore, it's frustrating!...",Angry
Everything is going better than I expected!!!,Happy
This place is giving me chills....,Fear
"That seems fair, I agree....",Calm
"Wow, I did not expect that at all!",Surprised
I won’t tolerate this behavior anymore!!!,Angry
"Oh my goodness, what a surprise!...",Surprised
How dare you treat me like this!,Angry
I love how everything is turning out!!,Happy
This is the worst thing I’ve ever experienced....,Disgust
That was completely out of the blue!!!,Surprised
"Please don’t leave me alone, I’m afraid.!!",Fear
I never imagined it would turn out like this!,Surprised
Why does everything always go wrong?.,Angry
This caught me totally off guard!!!,Surprised
Life feels so empty without them.,Sad
I'm heartbroken about what happened.,Sad
It doesn’t really bother me either way.!!,Calm
Let’s take it one step at a time.!,Calm
This situation is driving me crazy!,Angry
This place is giving me chills.,Fear
I just want to be left alone..,Sad
I’m not sure I can handle this situation..,Fear
I never imagined it would turn out like this!...,Surprised
That’s absolutely disgusting!!,Disgust
What if everything goes wrong?,Fear
I’m terrified of what might happen..,Fear
"Wow, I did not expect that at all!!!",Surprised
"What a wonderful day, I feel great!!!",Happy
"I can't stand this anymore, it's frustrating!!",Angry
"Oh wow, this is unbelievable!",Surprised
Something doesn’t feel right about this.,Fear
Everything is going better than I expected!,Happy
Everything is going better than I expected!...,Happy
"I understand, and that’s fine with me....",Calm
I feel like something bad is going to happen..,Fear
This is making me so angry!.,Angry
Why does this always happen to me?!!,Sad
This caught me totally off guard!!!,Surprised
I'm absolutely delighted with the results!.,Happy
I’m terrified of what might happen..,Fear
We can discuss this calmly and logically.!,Calm
I'm so furious about this injustice!...,Angry
This is such a sad situation.!,Sad
"I can't stand this anymore, it's frustrating!",Angry
This party is so much fun!!,Happy
"Wow, I did not expect that at all!",Surprised
This place is giving me chills..,Fear
Yay! We won the competition!!,Happy
We can discuss this calmly and logically.,Calm
"Oh my goodness, what a surprise!!",Surprised
I'm so excited about this new project!.,Happy
This is the worst thing I’ve ever experienced..,Disgust
I can’t stand the sight of this.!,Disgust
Something doesn’t feel right about this.!!,Fear
What if everything goes wrong?!!,Fear
Something doesn’t feel right about this.,Fear
I’m feeling relaxed and at peace.!!,Calm
I'm heartbroken about what happened.,Sad
"I can’t stop smiling, this is amazing!!",Happy
I feel so lonely and depressed..,Sad
This is making me so angry!!,Angry
Something doesn’t feel right about this....,Fear
"Stop wasting my time, I’m sick of it!.",Angry
"I can't stand this anymore, it's frustrating!!!",Angry
I can’t believe this just happened!!,Surprised
Life feels so empty without them.,Sad
I'm shocked by this unexpected news!!,Surprised
I feel nauseous just thinking about it.,Disgust
Everything seems hopeless right now.!!,Sad
Why would anyone do something so gross?...,Disgust
"Please don’t leave me alone, I’m afraid.",Fear
I’m terrified of what might happen.,Fear
Let’s just focus on finding a solution.,Calm
What if everything goes wrong?...,Fear
How dare you treat me like this!!!,Angry
I’m okay with whatever you decide.!!,Calm
"No way, are you serious?...",Surprised
I’m okay with whatever you decide....,Calm
This is the worst thing I’ve ever experienced.!!,Disgust
How dare you treat me like this!.,Angry
This caught me totally off guard!.,Surprised
I'm so excited about this new project!.,Happy
I love how everything is turning out!!!,Happy
"There’s no rush, we can work it out.!!",Calm
This is the worst thing I’ve ever experienced....,Disgust
Why does this always happen to me?!,Sad
What if everything goes wrong?...,Fear
Why does everything always go wrong?!,Angry
"This is fantastic news, I'm thrilled!!!",Happy
"I understand, and that’s fine with me....",Calm
"This is fantastic news, I'm thrilled!!!",Happy
I love how everything is turning out!!!,Happy
I feel on top of the world today!...,Happy
I feel like something bad is going to happen.,Fear
Why would anyone do something so gross?!,Disgust
This is such a sad situation....,Sad
I love how everything is turning out!!,Happy
"Please don’t leave me alone, I’m afraid.",Fear
Yay! We won the competition!.,Happy
I'm so furious about this injustice!!!,Angry
This is making me so angry!...,Angry
"This is fantastic news, I'm thrilled!.",Happy
I can’t believe this just happened!.,Surprised
What if everything goes wrong?...,Fear
"No way, are you serious?!",Surprised
I’m not sure I can handle this situation.!!,Fear
"I’m speechless, I didn’t see that coming!...",Surprised
It doesn’t really bother me either way....,Calm
I feel nauseous just thinking about it.!!,Disgust
"That seems fair, I agree.!!",Calm
Let’s take it one step at a time..,Calm
"I understand, and that’s fine with me..",Calm
I’m okay with whatever you decide.!,Calm
I’ve had enough of this nonsense!!!,Angry
"Stop wasting my time, I’m sick of it!!",Angry
"I understand, and that’s fine with me.",Calm
I can’t stand the sight of this..,Disgust
I'm so excited about this new project!.,Happy
I'm feeling really down today.,Sad
"This taste is unbearable, I hate it.",Disgust
This is such a sad situation.!!,Sad
"What a wonderful day, I feel great!",Happy
What if everything goes wrong?!,Fear
I'm shocked by this unexpected news!.,Surprised
Everything seems hopeless right now.!!,Sad
I'm so excited about this new project!,Happy
This situation is driving me crazy!!,Angry
"I can’t stop smiling, this is amazing!",Happy
"I can’t stop smiling, this is amazing!!",Happy
I’m not sure I can handle this situation.,Fear
What if everything goes wrong?!!,Fear
I'm absolutely delighted with the results!,Happy
I just want to be left alone.!!,Sad
This is making me so angry!!!,Angry
"Ugh, this makes me feel sick....",Disgust
I'm feeling really down today.,Sad
I'm shocked by this unexpected news!...,Surprised
"I can’t stop crying, it hurts so much....",Sad
That’s absolutely disgusting!!,Disgust
This is completely unacceptable!!!,Angry
"I can’t stop crying, it hurts so much..",Sad
"What a wonderful day, I feel great!...",Happy
"I can’t stop crying, it hurts so much.!!",Sad
"Stop wasting my time, I’m sick of it!!!",Angry
I'm so furious about this injustice!,Angry
"I can’t stop shaking, I’m so nervous!.",Fear
"I can’t stop shaking, I’m so nervous!...",Fear
I can’t believe how horrible this is.!!,Disgust
I feel nauseous just thinking about it.,Disgust
"My heart is racing, I can’t calm down!.",Fear
Why does this always happen to me?!,Sad
"There’s no rush, we can work it out.!!",Calm
Life feels so empty without them.,Sad
I love how everything is turning out!...,Happy
I never imagined it would turn out like this!!,Surprised
I feel like something bad is going to happen..,Fear
"I can't stand this anymore, it's frustrating!...",Angry
"No way, are you serious?!",Surprised
I love how everything is turning out!!!,Happy
"Oh wow, this is unbelievable!...",Surprised
"I can't stand this anymore, it's frustrating!!!",Angry
I feel on top of the world today!!!,Happy
Let’s take it one step at a time.,Calm
"There’s no rush, we can work it out.",Calm
Everything is going better than I expected!,Happy
"Everything is under control, don’t worry.!!",Calm
I’m terrified of what might happen.!!,Fear
I’m not sure I can handle this situation.!,Fear
This is such a sad situation....,Sad
This party is so much fun!...,Happy
I'm feeling really down today.!,Sad
Something doesn’t feel right about this..,Fear
I'm so excited about this new project!!!,Happy
It doesn’t really bother me either way.,Calm
I’ve had enough of this nonsense!!!,Angry
I feel on top of the world today!,Happy
"I can’t stop shaking, I’m so nervous!",Fear
"I can’t stop shaking, I’m so nervous!...",Fear
I won’t tolerate this behavior anymore!,Angry
I love how everything is turning out!...,Happy
I can’t believe this just happened!!,Surprised
I'm absolutely delighted with the results!!!,Happy
Let’s just focus on finding a solution..,Calm
I’m not sure I can handle this situation.!,Fear
This situation is driving me crazy!!,Angry
"Oh wow, this is unbelievable!!",Surprised
"That seems fair, I agree..",Calm
I'm so furious about this injustice!,Angry
I’m feeling relaxed and at peace.!!,Calm
That’s absolutely disgusting!!!,Disgust
"Stop wasting my time, I’m sick of it!!!",Angry
"Please don’t leave me alone, I’m afraid..",Fear
This situation is driving me crazy!.,Angry
"I can't stand this anymore, it's frustrating!...",Angry
"I can’t stop crying, it hurts so much..",Sad
Something doesn’t feel right about this..,Fear
This party is so much fun!,Happy
This party is so much fun!!,Happy
Let’s take it one step at a time....,Calm
"Everything is under control, don’t worry..",Calm
Let’s just focus on finding a solution.,Calm
"Ugh, this makes me feel sick.!!",Disgust
I'm heartbroken about what happened.!,Sad
Let’s just focus on finding a solution....,Calm
This place is giving me chills....,Fear
I feel so lonely and depressed.,Sad
"Oh wow, this is unbelievable!!!",Surprised
This is making me so angry!!!,Angry
How dare you treat me like this!!!,Angry
"Wow, I did not expect that at all!!!",Surprised
This party is so much fun!...,Happy
"No way, are you serious?...",Surprised
"I’m speechless, I didn’t see that coming!.",Surprised
Why does everything always go wrong?...,Angry
I'm heartbroken about what happened....,Sad
I'm so furious about this injustice!!,Angry
"I can’t stop shaking, I’m so nervous!.",Fear
Why does everything always go wrong?...,Angry
I'm so excited about this new project!...,Happy
I'm so furious about this injustice!!,Angry
Something doesn’t feel right about this.!,Fear
This is the worst thing I’ve ever experienced.!,Disgust
"I can’t stop shaking, I’m so nervous!!",Fear
I'm so furious about this injustice!.,Angry
That was completely out of the blue!...,Surprised
"Please don’t leave me alone, I’m afraid....",Fear
I just want to be left alone.,Sad
"Oh my goodness, what a surprise!...",Surprised
I’m okay with whatever you decide....,Calm
"That’s so dirty, I can’t touch it.!!",Disgust
"What a wonderful day, I feel great!!",Happy
"Stop wasting my time, I’m sick of it!...",Angry
"Wow, I did not expect that at all!",Surprised
"I understand, and that’s fine with me..",Calm
I’m okay with whatever you decide.!,Calm
I feel on top of the world today!...,Happy
I won’t tolerate this behavior anymore!!,Angry
I won’t tolerate this behavior anymore!!,Angry
How dare you treat me like this!!,Angry
"That’s so dirty, I can’t touch it..",Disgust
This is completely revolting!!!,Disgust
This caught me totally off guard!...,Surprised
I never imagined it would turn out like this!...,Surprised
"Oh wow, this is unbelievable!...",Surprised
I’ve had enough of this nonsense!.,Angry
Yay! We won the competition!,Happy
"Oh wow, this is unbelievable!...",Surprised
Everything seems hopeless right now.!,Sad
I'm shocked by this unexpected news!.,Surprised
"Everything is under control, don’t worry....",Calm
"I’m speechless, I didn’t see that coming!.",Surprised
"Oh wow, this is unbelievable!.",Surprised
I’m okay with whatever you decide.,Calm
I can’t believe how horrible this is..,Disgust
This party is so much fun!...,Happy
I’m really scared right now.!,Fear
I can’t stand the sight of this.!!,Disgust
"I can’t stop smiling, this is amazing!!",Happy
That was completely out of the blue!!!,Surprised
I'm heartbroken about what happened..,Sad
"I can’t stop shaking, I’m so nervous!",Fear
I'm so excited about this new project!,Happy
"Oh my goodness, what a surprise!.",Surprised
This party is so much fun!.,Happy
I can’t believe this just happened!!!,Surprised
I'm absolutely delighted with the results!...,Happy
I just want to be left alone.,Sad
I’ve lost all motivation to keep going.,Sad
I’ve had enough of this nonsense!!!,Angry
This situation is driving me crazy!.,Angry
This caught me totally off guard!,Surprised
"I can’t stop smiling, this is amazing!!!",Happy
This place is giving me chills.!,Fear
This party is so much fun!!!,Happy
"I’m speechless, I didn’t see that coming!...",Surprised
I feel nauseous just thinking about it.,Disgust
This place is giving me chills.!!,Fear
"Stop wasting my time, I’m sick of it!",Angry
"I understand, and that’s fine with me....",Calm
"I can't stand this anymore, it's frustrating!!!",Angry
I’ve had enough of this nonsense!!,Angry
"What a wonderful day, I feel great!...",Happy
How dare you treat me like this!,Angry
I’m feeling relaxed and at peace.!,Calm
"I can’t stop crying, it hurts so much.!!",Sad
"What a wonderful day, I feel great!...",Happy
"Stop wasting my time, I’m sick of it!!",Angry
I feel on top of the world today!.,Happy
"Oh my goodness, what a surprise!.",Surprised
"Oh wow, this is unbelievable!.",Surprised
This is making me so angry!!!,Angry
This is completely revolting!...,Disgust
"Wow, I did not expect that at all!...",Surprised
I’ve lost all motivation to keep going....,Sad
I can’t stand the sight of this....,Disgust
"Please don’t leave me alone, I’m afraid....",Fear
"Ugh, this makes me feel sick....",Disgust
This is completely revolting!!,Disgust
"I’m speechless, I didn’t see that coming!!!",Surprised
Something doesn’t feel right about this..,Fear
We can discuss this calmly and logically.!,Calm
"That’s so dirty, I can’t touch it.",Disgust
"Everything is under control, don’t worry.",Calm
How dare you treat me like this!,Angry
"I’m speechless, I didn’t see that coming!",Surprised
"Oh my goodness, what a surprise!.",Surprised
Why does everything always go wrong?...,Angry
What if everything goes wrong?!,Fear
"This taste is unbearable, I hate it.!!",Disgust
"That’s so dirty, I can’t touch it.",Disgust
Yay! We won the competition!...,Happy
Let’s just focus on finding a solution.!,Calm
I won’t tolerate this behavior anymore!!!,Angry
This caught me totally off guard!,Surprised
Let’s take it one step at a time.!!,Calm
I’ve had enough of this nonsense!.,Angry
I love how everything is turning out!...,Happy
Let’s take it one step at a time.!!,Calm
It doesn’t really bother me either way....,Calm
"Ugh, this makes me feel sick..",Disgust
I can’t believe how horrible this is.,Disgust
"I understand, and that’s fine with me....",Calm
Let’s just focus on finding a solution.!!,Calm
"No way, are you serious?",Surprised
"I understand, and that’s fine with me.",Calm
"Oh wow, this is unbelievable!...",Surprised
I can’t believe this just happened!...,Surprised
"Stop wasting my time, I’m sick of it!.",Angry
This is completely unacceptable!,Angry
This is the worst thing I’ve ever experienced.!,Disgust
This party is so much fun!.,Happy
This is completely unacceptable!!,Angry
That was completely out of the blue!,Surprised
This is making me so angry!,Angry
This is the worst thing I’ve ever experienced.,Disgust
That’s absolutely disgusting!...,Disgust
Why does this always happen to me?...,Sad
"This taste is unbearable, I hate it..",Disgust
Everything is going better than I expected!.,Happy
I feel like something bad is going to happen..,Fear
I feel nauseous just thinking about it....,Disgust
"I can’t stop crying, it hurts so much....",Sad
What if everything goes wrong?!!,Fear
I'm so furious about this injustice!,Angry
"This taste is unbearable, I hate it....",Disgust
Yay! We won the competition!...,Happy
Life feels so empty without them.!!,Sad
"What a wonderful day, I feel great!.",Happy
"Ugh, this makes me feel sick....",Disgust
I'm shocked by this unexpected news!...,Surprised
I never imagined it would turn out like this!.,Surprised
This is making me so angry!.,Angry
That’s absolutely disgusting!,Disgust
This caught me totally off guard!!!,Surprised
"I can’t stop shaking, I’m so nervous!.",Fear
I can’t stand the sight of this.!!,Disgust
"Ugh, this makes me feel sick.!!",Disgust
This is the worst thing I’ve ever experienced....,Disgust
I’m okay with whatever you decide.,Calm
"Oh wow, this is unbelievable!.",Surprised
"What a wonderful day, I feel great!!",Happy
Why does everything always go wrong?.,Angry
"That’s so dirty, I can’t touch it..",Disgust
This is such a sad situation.!,Sad
I feel like something bad is going to happen.,Fear
"Stop wasting my time, I’m sick of it!.",Angry
I can’t stand the sight of this.,Disgust
That’s absolutely disgusting!,Disgust
"I can’t stop crying, it hurts so much.!!",Sad
Everything is going better than I expected!,Happy
"What a wonderful day, I feel great!!",Happy
I'm absolutely delighted with the results!...,Happy
"Wow, I did not expect that at all!!",Surprised
We can discuss this calmly and logically....,Calm
"Oh wow, this is unbelievable!...",Surprised
I’m okay with whatever you decide.!!,Calm
I'm heartbroken about what happened.!!,Sad
"I can't stand this anymore, it's frustrating!!",Angry
Let’s take it one step at a time....,Calm
Everything is going better than I expected!!!,Happy
I can’t believe how horrible this is....,Disgust
"There’s no rush, we can work it out.!",Calm
I can’t believe this just happened!...,Surprised
"I can’t stop crying, it hurts so much.",Sad
This is completely revolting!!,Disgust
I won’t tolerate this behavior anymore!!,Angry
How dare you treat me like this!!,Angry
"Please don’t leave me alone, I’m afraid.",Fear
I can’t believe how horrible this is.,Disgust
I'm so excited about this new project!,Happy
I'm absolutely delighted with the results!...,Happy
Something doesn’t feel right about this..,Fear
"That seems fair, I agree....",Calm
I’m okay with whatever you decide....,Calm
Why would anyone do something so gross?!,Disgust
We can discuss this calmly and logically.,Calm
"I can’t stop smiling, this is amazing!!",Happy
Life feels so empty without them.!,Sad
"Wow, I did not expect that at all!...",Surprised
I feel nauseous just thinking about it....,Disgust
I never imagined it would turn out like this!!!,Surprised
"Wow, I did not expect that at all!!",Surprised
"Please don’t leave me alone, I’m afraid..",Fear
I feel nauseous just thinking about it....,Disgust
I'm heartbroken about what happened.!!,Sad
"Oh my goodness, what a surprise!",Surprised
"There’s no rush, we can work it out.!!",Calm
"I can’t stop smiling, this is amazing!...",Happy
"Oh wow, this is unbelievable!...",Surprised
"This taste is unbearable, I hate it..",Disgust
I’m really scared right now..,Fear
Why does everything always go wrong?!,Angry
I'm heartbroken about what happened.,Sad
"There’s no rush, we can work it out.!!",Calm
I'm so excited about this new project!!,Happy
I feel on top of the world today!.,Happy
This is such a sad situation....,Sad
Everything is going better than I expected!!,Happy
"Wow, I did not expect that at all!...",Surprised
I feel like something bad is going to happen.,Fear
I'm feeling really down today....,Sad
"Everything is under control, don’t worry.!!",Calm
I'm so furious about this injustice!...,Angry
I’ve lost all motivation to keep going....,Sad
"I can’t stop shaking, I’m so nervous!!",Fear
"What a wonderful day, I feel great!...",Happy
"What a wonderful day, I feel great!!",Happy
"I understand, and that’s fine with me....",Calm
"Please don’t leave me alone, I’m afraid.!!",Fear
What if everything goes wrong?!!,Fear
That’s absolutely disgusting!...,Disgust
I love how everything is turning out!,Happy
Something doesn’t feel right about this.,Fear
I'm heartbroken about what happened.!!,Sad
I’m okay with whatever you decide.!!,Calm
"Wow, I did not expect that at all!!!",Surprised
"Ugh, this makes me feel sick..",Disgust
I feel nauseous just thinking about it.!,Disgust
It doesn’t really bother me either way.!,Calm
This is the worst thing I’ve ever experienced..,Disgust
"This taste is unbearable, I hate it.!!",Disgust
"Everything is under control, don’t worry....",Calm
"Oh wow, this is unbelievable!!",Surprised
I won’t tolerate this behavior anymore!...,Angry
This situation is driving me crazy!.,Angry
"Oh my goodness, what a surprise!!",Surprised
This party is so much fun!!,Happy
I feel like something bad is going to happen.,Fear
I’m terrified of what might happen....,Fear
I never imagined it would turn out like this!.,Surprised
This is the worst thing I’ve ever experienced.!,Disgust
Yay! We won the competition!,Happy
This is such a sad situation.!,Sad
"That seems fair, I agree..",Calm
I’m really scared right now.!!,Fear
"This taste is unbearable, I hate it.!",Disgust
I'm heartbroken about what happened.,Sad
"This taste is unbearable, I hate it..",Disgust
"Oh my goodness, what a surprise!",Surprised
"Wow, I did not expect that at all!...",Surprised
"Ugh, this makes me feel sick.!!",Disgust
I’m feeling relaxed and at peace.!,Calm
I'm shocked by this unexpected news!...,Surprised
I’m not sure I can handle this situation.!!,Fear
Why does everything always go wrong?!!,Angry
I’m okay with whatever you decide.!!,Calm
"I can’t stop smiling, this is amazing!!!",Happy
Why does everything always go wrong?,Angry
I’m okay with whatever you decide....,Calm
This is completely revolting!!,Disgust
Why does everything always go wrong?,Angry
"Ugh, this makes me feel sick....",Disgust
It doesn’t really bother me either way.,Calm
"This taste is unbearable, I hate it....",Disgust
This caught me totally off guard!...,Surprised
I feel on top of the world today!.,Happy
That was completely out of the blue!,Surprised
Why would anyone do something so gross?...,Disgust
I’m okay with whatever you decide.,Calm
Why would anyone do something so gross?,Disgust
We can discuss this calmly and logically.!!,Calm
"There’s no rush, we can work it out....",Calm
I’ve had enough of this nonsense!...,Angry
Life feels so empty without them..,Sad
"That seems fair, I agree..",Calm
"My heart is racing, I can’t calm down!!!",Fear
I’m not sure I can handle this situation..,Fear
"This is fantastic news, I'm thrilled!",Happy
This caught me totally off guard!!,Surprised
I feel nauseous just thinking about it.!!,Disgust
I can’t believe how horrible this is.!!,Disgust
"There’s no rush, we can work it out....",Calm
"I can’t stop crying, it hurts so much.!",Sad
It doesn’t really bother me either way.!,Calm
Why does everything always go wrong?!,Angry
"No way, are you serious?",Surprised
"Oh my goodness, what a surprise!...",Surprised
I'm absolutely delighted with the results!...,Happy
"Oh my goodness, what a surprise!!",Surprised
I'm so excited about this new project!.,Happy
I won’t tolerate this behavior anymore!!,Angry
I'm feeling really down today.!,Sad
